left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0018,test-0047,0.02688285683885514,1.9654000341076234,0.0538931115518245
test-0018,test-0052,9.211582227048837,8.971575497470003,9.168043349998294
test-0018,test-0055,-2.223457691864608,-0.9372643417112155,-2.2483453774549793
test-0018,test-0069,-6.309481041689849,-5.367875537135864,-6.41782174184596
test-0018,test-0071,9.490060625094532,10.291586289901714,9.71557193361654
test-0018,test-0084,2.1709327956860505,3.4305355439897647,3.0915004203414167
test-0018,test-0085,-4.475108542985598,-3.9385629703779736,-4.226870422153641
test-0018,test-0094,4.89731286946394,4.620758289799934,4.1478691590668015
test-0018,test-0101,14.1641258031826,14.281835749800997,13.189833457866726
test-0018,test-0108,-4.623420619622238,-3.2387538728414094,-4.453239292837755
test-0018,test-0115,-0.3492213542034431,0.20313513185711848,-0.3819353477080074
test-0018,test-0116,4.289926071277759,3.9701295706361015,3.2508091989183328
test-0018,test-0120,-11.725808699313037,-10.759883308854862,-11.62963070434447
test-0018,test-0122,-3.3201144467329704,-3.178154555351795,-3.7657194363471835
test-0018,test-0123,11.987921681226675,11.901877940464574,11.881164751865606
test-0018,test-0125,3.7640051878283356,4.928071300798533,3.6810784529154588
test-0018,test-0126,12.487589755109896,12.518479168439207,11.794325828753724
test-0018,test-0129,4.499859683842005,5.1553842166743395,4.564784420120666
test-0018,test-0145,2.7838204900411263,3.4635010006632645,2.7733892270344143
test-0018,test-0150,1.0303423757966579,0.9889626293818263,1.320013425615567
test-0018,test-0152,-15.074455658942496,-14.078916694569568,-15.120172093173187
test-0018,test-0155,1.104189074649307,3.4010429085610148,1.737644259397361
test-0019,test-0020,-1.8781987518966758,-2.5495735345304573,-3.0365375322947212
test-0019,test-0040,-5.688676020296092,-6.910092186950655,-6.402796799102051
test-0019,test-0054,7.1376067791532005,7.565452839331533,7.05658202987391
test-0019,test-0063,-2.6398945216598273,-3.188801424046735,-3.2736074744594985
test-0019,test-0072,-7.6578531738012225,-7.933627984764444,-8.441676886191795
test-0019,test-0076,3.882008326827196,3.158478548813476,3.8636033920828448
test-0019,test-0079,6.755965916317799,7.141394283810953,6.667762328736885
test-0019,test-0084,6.3708905179765285,6.228231983654043,6.384137201024538
test-0019,test-0085,-0.5483507600441555,-1.340193553132657,-1.1679748995997266
test-0019,test-0089,-6.5955757059097,-7.015183655072976,-6.848495517704947
test-0019,test-0104,-2.162075421257352,-2.57197725491485,-3.215819739582717
test-0019,test-0108,-0.7027595261651195,-0.6214552930395476,-1.4015737598230096
test-0019,test-0110,2.4428077759512985,1.4522523782777332,1.298038909286423
test-0019,test-0140,10.117668649643397,7.8601688552063065,8.832051990018913
test-0019,test-0155,5.260295983344567,6.197941600822155,4.987040262973707
test-0019,test-0159,7.5622261205484405,7.677262092217628,6.316196134205073
test-0020,test-0034,6.299348264154266,5.789987475445884,6.399854003004085
test-0020,test-0040,-3.8834155304227784,-4.474601918715355,-3.4716780745412206
test-0020,test-0047,6.132076086016725,7.463322395472527,6.482905212782743
test-0020,test-0053,18.44400446118291,17.28619034584157,17.390871579307003
test-0020,test-0063,-0.7762757716169373,-0.6559518646568264,-0.24449409719020332
test-0020,test-0072,-5.890285694298,-5.524916252820879,-5.574408355825073
test-0020,test-0089,-4.807674639079466,-4.582442871222176,-3.9313344309252987
test-0020,test-0094,11.299775347537837,10.261856213919678,10.83994170435539
test-0020,test-0098,12.314275471208736,12.661000025543496,12.634574628677015
test-0020,test-0104,-0.2893104954758089,-0.022989863869226874,-0.1848966638827561
test-0021,test-0038,-5.7876796424822174,-4.890584022638212,-5.900997892089894
test-0021,test-0042,-4.386095332763651,-4.843595839053172,-4.824571213083723
test-0021,test-0044,-11.230361748384064,-10.621783689054643,-11.715927493403006
test-0021,test-0053,-8.764787365900165,-9.493069794406882,-10.182436024887105
test-0021,test-0066,-4.882305156728617,-5.268526663638926,-5.215589734138033
test-0021,test-0103,-9.094220931534062,-8.729510922624687,-9.799030690756156
